id;discount_percentage;description;start_date;end_date;is_deal_active
1;42;hence introduce complicated;2024-08-05T02:08:24;2024-08-05T02:56:15;false
2;54;above kookily;2024-08-04T19:08:57;2024-08-05T05:04:30;false
3;32;until;2024-08-04T23:08:43;2024-08-05T02:28:53;true
4;33;question an;2024-08-05T02:24:08;2024-08-04T15:23:36;false
5;65;whose boo portly;2024-08-05T08:13:53;2024-08-04T19:22:35;false
6;30;that while;2024-08-04T17:13:48;2024-08-04T14:56:28;false
7;46;immobilise satisfied;2024-08-05T08:27:27;2024-08-05T06:44:31;true
8;47;solemnly;2024-08-04T16:24:18;2024-08-05T03:54:17;false
9;18;before finally lest;2024-08-05T13:25:09;2024-08-04T18:18:22;true
10;87;incidentally;2024-08-04T20:14:30;2024-08-05T00:45:25;false
