id;user_id;store_id;city_id;card_id;favorite_type
1;embellished alongside;too as ambition;er disguised;with;CITY
2;past yuck;readily;lest ram brr;strictly phooey;CARD
3;candid;excitement;effort next;repurpose spawn angrily;CARD
4;bumpy nor;beautiful than stoke;crawdad whether hence;pfft hm;CARD
5;mysteriously lonely;energize catnap;gloat;biodegradable;STORE
6;outside than amongst;legal droopy branch;always;apud wherever likewise;CARD
7;maestro at;past;incidentally aw acidify;midst;STORE
8;unto evenly;blah;safely versus until;upward decisive;CITY
9;once except throughout;turbulent uh-huh;anguished impanel excluding;ick;CITY
10;neatly;likewise er concerning;dash;until pure jaggedly;CARD
