id;store_name;store_type;store_category;address;phone;geo_location
1;radish beyond mistreat;ONLINE;CLOTHING;aged;1-912-383-8916 x7196;with yippee
2;hm;ONLINE;TRAVEL;klutzy;746-984-0654 x42697;yet meaty flower
3;against rudely;ONLINE;CLOTHING;provided gadzooks yet;(633) 868-1573;once
4;bruised yum;ONLINE;DINING;through;296-326-4250 x75307;strictly qua
5;drat although;PHYSICAL;DINING;moody anenst climb;715.624.5716 x14804;super oof
6;decimalize drape;PHYSICAL;GROCERY;if brr;322.569.5778 x79144;cube vaguely
7;ugh;PHYSICAL;DINING;lunch hence waffle;594.931.9046;revere selfish specialise
8;promptly;ONLINE;CLOTHING;doorstep ha board;(746) 878-3025 x9499;grasshopper timetable rewarding
9;after;ONLINE;CLOTHING;dispute for aha;220-780-0763;until inasmuch
10;unfortunately on unnecessarily;PHYSICAL;DINING;decelerate till mmm;1-389-413-7682;per betide
